JobID: 4036, Partition: test, Name: nf-NFCOR, User: nfomin3, Time: 0:01, Node: niklashome3
JobID: 4037, Partition: test, Name: nf-NFCOR, User: nfomin3, Time: 0:00, Node: niklashome3
JobID: 4052, Partition: test, Name: nf-NFCOR, User: nfomin3, Time: 0:00, Node: (Priority)
JobID: 4053, Partition: test, Name: nf-NFCOR, User: nfomin3, Time: 0:00, Node: (Priority)
JobID: 4054, Partition: test, Name: nf-NFCOR, User: nfomin3, Time: 0:00, Node: (Priority)
JobID: 4055, Partition: test, Name: nf-NFCOR, User: nfomin3, Time: 0:01, Node: niklashome3
JobID: 4056, Partition: test, Name: nf-NFCOR, User: nfomin3, Time: 0:01, Node: niklashome3
JobID: 4057, Partition: test, Name: nf-NFCOR, User: nfomin3, Time: 0:01, Node: niklashome3
JobID: 4058, Partition: test, Name: nf-NFCOR, User: nfomin3, Time: 0:00, Node: (None)
JobID: 4059, Partition: test, Name: nf-NFCOR, User: nfomin3, Time: 0:00, Node: (Priority)
JobID: 4060, Partition: test, Name: nf-NFCOR, User: nfomin3, Time: 0:00, Node: (Priority)
JobID: 4061, Partition: test, Name: nf-NFCOR, User: nfomin3, Time: 0:00, Node: (Priority)
JobID: 4062, Partition: test, Name: nf-NFCOR, User: nfomin3, Time: 0:00, Node: (Priority)
JobID: 4068, Partition: test, Name: nf-NFCOR, User: nfomin3, Time: 0:00, Node: (Resources)
JobID: 4063, Partition: test, Name: nf-NFCOR, User: nfomin3, Time: 0:01, Node: niklashome3
JobID: 4064, Partition: test, Name: nf-NFCOR, User: nfomin3, Time: 0:01, Node: niklashome3
JobID: 4065, Partition: test, Name: nf-NFCOR, User: nfomin3, Time: 0:01, Node: niklashome3
JobID: 4066, Partition: test, Name: nf-NFCOR, User: nfomin3, Time: 0:01, Node: niklashome3
JobID: 4067, Partition: test, Name: nf-NFCOR, User: nfomin3, Time: 0:01, Node: niklashome3
JobID: 4069, Partition: test, Name: nf-NFCOR, User: nfomin3, Time: 0:00, Node: (None)
JobID: 4070, Partition: test, Name: nf-NFCOR, User: nfomin3, Time: 0:00, Node: (Priority)
JobID: 4071, Partition: test, Name: nf-NFCOR, User: nfomin3, Time: 0:00, Node: (Priority)
JobID: 4072, Partition: test, Name: nf-NFCOR, User: nfomin3, Time: 0:00, Node: (Priority)
JobID: 4073, Partition: test, Name: nf-NFCOR, User: nfomin3, Time: 0:00, Node: (Priority)
JobID: 4074, Partition: test, Name: nf-NFCOR, User: nfomin3, Time: 0:00, Node: (Priority)
JobID: 4075, Partition: test, Name: nf-NFCOR, User: nfomin3, Time: 0:00, Node: (Priority)
JobID: 4076, Partition: test, Name: nf-NFCOR, User: nfomin3, Time: 0:00, Node: (Priority)
JobID: 4077, Partition: test, Name: nf-NFCOR, User: nfomin3, Time: 0:00, Node: (Priority)
JobID: 4078, Partition: test, Name: nf-NFCOR, User: nfomin3, Time: 0:00, Node: (Priority)
JobID: 4079, Partition: test, Name: nf-NFCOR, User: nfomin3, Time: 0:00, Node: (Priority)
JobID: 4080, Partition: test, Name: nf-NFCOR, User: nfomin3, Time: 0:00, Node: (Priority)
JobID: 4081, Partition: test, Name: nf-NFCOR, User: nfomin3, Time: 0:00, Node: (Priority)
JobID: 4082, Partition: test, Name: nf-NFCOR, User: nfomin3, Time: 0:00, Node: (Priority)
JobID: 4083, Partition: test, Name: nf-NFCOR, User: nfomin3, Time: 0:00, Node: (Priority)
JobID: 4084, Partition: test, Name: nf-NFCOR, User: nfomin3, Time: 0:00, Node: (Priority)
JobID: 4085, Partition: test, Name: nf-NFCOR, User: nfomin3, Time: 0:00, Node: (Priority)
JobID: 4086, Partition: test, Name: nf-NFCOR, User: nfomin3, Time: 0:00, Node: (Priority)
