task_id;hostname;hash;native_id;process;tag;name;status;exit;module;container;cpus;time;disk;memory;attempt;submit;start;complete;duration;realtime;queue;%cpu;%mem;rss;vmem;peak_rss;peak_vmem;rchar;wchar;syscr;syscw;read_bytes;write_bytes;vol_ctxt;inv_ctxt;workdir;scratch;error_action
92;-;1c/81fbd9;43764;NFCORE_CHIPSEQ:CHIPSEQ:BAM_MARKDUPLICATES_PICARD:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS;SPT5_T15_REP1;NFCORE_CHIPSEQ:CHIPSEQ:BAM_MARKDUPLICATES_PICARD:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (SPT5_T15_REP1);COMPLETED;0;-;quay.io/biocontainers/samtools:1.20--h50ea8bc_0;1;14400000;-;6442450944;1;1742930317316;1742930322119;1742930322122;4806;0;nf-core;90.0;0.0;3305472;4489216;3305472;4489216;161786;5306;237;19;0;8192;2;1;/home/nfomin3/dev/SlurmSetup/nextflow/chipseq/work/1c/81fbd932db48058e2f2d6598b4fae4;-;-
84;-;45/f96b9d;43762;NFCORE_CHIPSEQ:CHIPSEQ:BAM_MARKDUPLICATES_PICARD:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT;SPT5_T0_REP2;NFCORE_CHIPSEQ:CHIPSEQ:BAM_MARKDUPLICATES_PICARD:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (SPT5_T0_REP2);COMPLETED;0;-;quay.io/biocontainers/samtools:1.20--h50ea8bc_0;1;14400000;-;6442450944;1;1742930317281;1742930322113;1742930322116;4835;0;nf-core;95.1;0.0;7053312;162738176;7053312;229982208;9099687;5491;1695;19;0;8192;254;5;/home/nfomin3/dev/SlurmSetup/nextflow/chipseq/work/45/f96b9dd72668d2f726da567124aed1;-;-
91;-;d7/914594;43763;NFCORE_CHIPSEQ:CHIPSEQ:BAM_MARKDUPLICATES_PICARD:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS;SPT5_INPUT_REP1;NFCORE_CHIPSEQ:CHIPSEQ:BAM_MARKDUPLICATES_PICARD:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (SPT5_INPUT_REP1);COMPLETED;0;-;quay.io/biocontainers/samtools:1.20--h50ea8bc_0;1;14400000;-;6442450944;1;1742930317302;1742930322116;1742930322119;4817;0;nf-core;105.9;0.0;3284992;4489216;3284992;4489216;160310;5299;237;19;0;8192;2;0;/home/nfomin3/dev/SlurmSetup/nextflow/chipseq/work/d7/91459421fcc8d7ea2f9577fd48d5f6;-;-
80;-;e7/53624e;43761;NFCORE_CHIPSEQ:CHIPSEQ:BAM_FILTER_BAMTOOLS:BAMTOOLS_FILTER;SPT5_T15_REP2;NFCORE_CHIPSEQ:CHIPSEQ:BAM_FILTER_BAMTOOLS:BAMTOOLS_FILTER (SPT5_T15_REP2);COMPLETED;0;-;quay.io/biocontainers/mulled-v2-0560a8046fc82aa4338588eca29ff18edab2c5aa:5687a7da26983502d0a8a9a6b05ed727c740ddc4-0;2;21600000;-;6442450944;1;1742930317179;1742930322109;1742930322113;4934;2000;nf-core;127.6;0.0;12234752;21262336;12357632;21393408;15870686;12447271;2603;1345;0;6139904;237;177;/home/nfomin3/dev/SlurmSetup/nextflow/chipseq/work/e7/53624e5499719ee18a125f34f3bd22;-;-
90;-;36/937d75;43765;NFCORE_CHIPSEQ:CHIPSEQ:BAM_MARKDUPLICATES_PICARD:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS;SPT5_T0_REP2;NFCORE_CHIPSEQ:CHIPSEQ:BAM_MARKDUPLICATES_PICARD:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (SPT5_T0_REP2);COMPLETED;0;-;quay.io/biocontainers/samtools:1.20--h50ea8bc_0;1;14400000;-;6442450944;1;1742930317335;1742930322122;1742930322194;4859;0;nf-core;82.8;0.0;3256320;4489216;3256320;4489216;161678;5308;237;19;0;8192;2;0;/home/nfomin3/dev/SlurmSetup/nextflow/chipseq/work/36/937d750491698c9fbf5166c80e22bd;-;-
85;-;9b/5e2151;43767;NFCORE_CHIPSEQ:CHIPSEQ:BAM_MARKDUPLICATES_PICARD:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT;SPT5_INPUT_REP1;NFCORE_CHIPSEQ:CHIPSEQ:BAM_MARKDUPLICATES_PICARD:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (SPT5_INPUT_REP1);COMPLETED;0;-;quay.io/biocontainers/samtools:1.20--h50ea8bc_0;1;14400000;-;6442450944;1;1742930317392;1742930322199;1742930322206;4814;1000;nf-core;124.1;0.0;7122944;162738176;7122944;229982208;11128739;5483;1849;19;0;8192;147;5;/home/nfomin3/dev/SlurmSetup/nextflow/chipseq/work/9b/5e21513699b5b7daaf048bae74db15;-;-
81;-;21/a200ea;43766;NFCORE_CHIPSEQ:CHIPSEQ:BAM_FILTER_BAMTOOLS:SAMTOOLS_SORT;SPT5_T15_REP1;NFCORE_CHIPSEQ:CHIPSEQ:BAM_FILTER_BAMTOOLS:SAMTOOLS_SORT (SPT5_T15_REP1);COMPLETED;0;-;quay.io/biocontainers/samtools:1.20--h50ea8bc_0;2;21600000;-;6442450944;1;1742930317372;1742930322195;1742930322199;4827;1000;nf-core;192.5;0.0;38862848;1862672384;38862848;1862672384;12304717;13164870;442;211;0;7086080;50;90;/home/nfomin3/dev/SlurmSetup/nextflow/chipseq/work/21/a200eafb2daa9689d05c7b523c62de;-;-
86;-;c6/5dbe2a;43768;NFCORE_CHIPSEQ:CHIPSEQ:BAM_MARKDUPLICATES_PICARD:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT;SPT5_T15_REP1;NFCORE_CHIPSEQ:CHIPSEQ:BAM_MARKDUPLICATES_PICARD:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (SPT5_T15_REP1);COMPLETED;0;-;quay.io/biocontainers/samtools:1.20--h50ea8bc_0;1;14400000;-;6442450944;1;1742930317410;1742930322216;1742930322228;4818;0;nf-core;128.9;0.0;6950912;162738176;6950912;229982208;9536680;5488;1703;19;0;8192;255;10;/home/nfomin3/dev/SlurmSetup/nextflow/chipseq/work/c6/5dbe2a578ba6b7e355031729304ce6;-;-
96;-;de/800de6;43770;NFCORE_CHIPSEQ:CHIPSEQ:BAM_FILTER_BAMTOOLS:BAM_REMOVE_ORPHANS;SPT5_T0_REP2;NFCORE_CHIPSEQ:CHIPSEQ:BAM_FILTER_BAMTOOLS:BAM_REMOVE_ORPHANS (SPT5_T0_REP2);COMPLETED;0;-;quay.io/biocontainers/mulled-v2-57736af1eb98c01010848572c9fec9fff6ffaafd:402e865b8f6af2f3e58c6fc8d57127ff0144b2c7-0;2;21600000;-;6442450944;1;1742930317455;1742930322258;1742930327110;9655;1000;nf-core;132.2;0.0;17338368;1852956672;17338368;1852960768;11295185;10186505;1669;636;0;10199040;5;2;/home/nfomin3/dev/SlurmSetup/nextflow/chipseq/work/de/800de69c8d59e0f47e8ad47c430f41;-;-
93;-;72/63bfcb;43771;NFCORE_CHIPSEQ:CHIPSEQ:BAM_MARKDUPLICATES_PICARD:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS;SPT5_INPUT_REP2;NFCORE_CHIPSEQ:CHIPSEQ:BAM_MARKDUPLICATES_PICARD:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (SPT5_INPUT_REP2);COMPLETED;0;-;quay.io/biocontainers/samtools:1.20--h50ea8bc_0;1;14400000;-;6442450944;1;1742930317477;1742930327111;1742930327120;9643;0;nf-core;83.7;0.0;3334144;4489216;3334144;4489216;160221;5297;237;19;0;8192;2;0;/home/nfomin3/dev/SlurmSetup/nextflow/chipseq/work/72/63bfcb1e7904ba40733836fd1f4106;-;-
